"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"322","CORPIL07",1,1,1,1,1,1
"323","CORPIL09",1,1,1,1,1,1
"324","CORPIL11",1,1,1,1,1,1
"325","CORPIL14",1,1,1,1,1,1
"326","COSQU02",1,1,1,1,1,1
"327","COSQU03",1,1,1,1,1,1
"328","COSQU04",1,1,1,1,1,1
"329","CPCT57",1,1,1,1,1,1
"330","CRAVUL01",1,1,1,1,1,1
"331","CRYUND01",1,1,1,1,1,1
"332","CYACYA01",1,1,1,1,1,1
"333","CYACYA03",1,1,1,1,1,1
"334","CYACYA04",1,1,1,1,1,1
"335","CYCGUJ01",1,1,1,1,1,1
"336","CYPHIR01",1,1,1,1,1,1
"337","DENCER01",1,1,1,1,1,1
"338","DENFUL02",1,1,1,1,1,1
"339","DENVID02",1,1,1,1,1,1
"340","DETPET03",1,1,1,1,1,1
"341","DICCIN01",1,1,1,1,1,1
"342","DIGCYA04",1,1,1,1,1,1
"343","DIGCYA05",1,1,1,1,1,1
"344","DIGCYA06",1,1,1,1,1,1
"345","DIGCYA07",1,1,1,1,1,1
"346","DIGCYA08",1,1,1,1,1,1
"347","DIGLAF02",1,1,1,1,1,1
"348","DIXPIP01",1,1,1,1,1,1
"349","DYSMEN01",1,1,1,1,1,1
"350","DYSMEN03",1,1,1,1,1,1
"351","ELACHI01",1,1,1,1,1,1
"352","ELAFLA01",1,1,1,1,1,1
"353","ELALBO01",1,1,1,1,1,1
"354","ELASPE01",1,1,1,1,1,1
"355","EMPVAR01",1,1,1,1,1,1
"356","ENTLEU01",1,1,1,1,1,1
"357","EUCHL01",1,1,1,1,1,1
"358","EUPMAC01",1,1,1,1,1,1
"359","EUVIO01",1,1,1,1,1,1
"360","EUXAN01",1,1,1,1,1,1
"361","FOCOL02",1,1,1,1,1,1
"362","FOGRI01",1,1,1,1,1,1
"363","FOMEL02",1,1,1,1,1,1
"364","FOMEL03",1,1,1,1,1,1
"365","FOMEL04",1,1,1,1,1,1
"366","FORANA01",1,1,1,1,1,1
"367","FORCOL01",1,1,1,1,1,1
"368","FORCOL02",1,1,1,1,1,1
"369","FORCOL03",1,1,1,1,1,1
"370","FORCOL04",1,1,1,1,1,1
"371","FORCOL05",1,1,1,1,1,1
"372","FORCOL08",1,1,1,1,1,1
"373","FORGRI01",1,1,1,1,1,1
"374","FORGRI03",1,1,1,1,1,1
"375","FRAG15",1,1,1,1,1,1
"376","FULEU01",1,1,1,1,1,1
"377","FURLEU02",1,1,1,1,1,1
"378","FURUF01",1,1,1,1,1,1
"379","GALALB01",1,1,1,1,1,1
"380","GALCYA01",1,1,1,1,1,1
"381","GALCYA04",1,1,1,1,1,1
"382","GEOFRE01",1,1,1,1,1,1
"383","GEOFUL01",1,1,1,1,1,1
"384","GEOMON01",1,1,1,1,1,1
"385","GEOTRI01",1,1,1,1,1,1
"386","GLAHIR01",1,1,1,1,1,1
"387","GLAHIR03",1,1,1,1,1,1
"388","GLAHIR04",1,1,1,1,1,1
"389","GLYSPI01",1,1,1,1,1,1
"390","GLYSPI02",1,1,1,1,1,1
"391","GLYSPI03",1,1,1,1,1,1
