"","Lineage_Name","site","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"355","TROAED20","Bosque_Palacio",1,2,1,2,1,1
"356","TROAED20","Carampoma",1,2,1,1,1,1
"357","TROAED20","Hual3",1,2,1,1,1,1
"358","TROAED20","Sierra_Nevada_de_Santa_Marta",1,2,2,2,1,1
"359","TROAED23","Hual5",1,2,1,2,1,1
"360","TUAMA01","CLBI-Parnamirim/RN",1,2,2,2,1,1
"361","TULEU01","Brasilandia_de_Minas",1,2,1,1,1,1
"362","TULEU01","Jequitinhonha",1,2,2,2,1,1
"363","TULEU04","Felixlandia",1,2,1,1,1,1
"364","TULEU06","Bocaiuva",1,2,1,1,1,1
"365","TULEU06","Jequitinhonha",1,2,1,2,1,1
"366","TULEU07","Felixlandia",1,2,2,2,1,1
"367","TURUF03","Sfr1",1,2,1,1,1,1
"368","VIOLI04","Hual5",1,2,2,2,1,1
"369","VOLJAC02","Ser1",1,2,1,1,1,1
"370","WILPOE02","Tap2",1,2,1,2,1,1
"371","WILPOE17","Bel1",1,2,1,2,1,1
"372","WILPOE19","Rond5",1,2,1,1,1,1
"373","ZOCAP01","Saj1",1,2,1,1,1,1
"374","ZOCAP14","Ucumari_NP,_La_Pastora",1,2,1,1,1,1
"375","29092","ESEC-Serra_Negra_do_Norte/RN",1,1,1,1,1,1
"376","ABUCUJ01","Xing1",1,1,1,1,1,1
"377","ADEMEL01","Yanayacu",1,1,1,1,1,1
"378","AFR025","Hual5",1,1,1,1,1,1
"379","AFR028","Hual5",1,1,1,1,1,1
"380","AFR122","Rond1",1,1,1,1,1,1
"381","AFR122","Rond2",1,1,1,1,1,1
"382","AFR122","Tap2",1,1,1,1,1,1
"383","AGEBAD02","Esp1",1,1,1,1,1,1
"384","ALEDIA01","Esp1",1,1,1,1,1,1
"385","AMABRA01","Pan2",1,1,1,1,1,1
"386","ANGAL01","Brasilandia_de_Minas",1,1,1,1,1,1
"387","ANIFLA01","Hual1",1,1,1,1,1,1
"388","ANIGN01","Bosque_Palacio",1,1,1,1,1,1
"389","ANSOM01","Ucumari_NP,_La_Pastora",1,1,1,1,1,1
"390","ARAJAN01","Bel1",1,1,1,1,1,1
"391","ARBRU01","Ucumari_NP,_La_Pastora",1,1,1,1,1,1
"392","ARBRU02","Hual4",1,1,1,1,1,1
"393","ARBRU02","Sierra_Nevada_de_Santa_Marta",1,1,1,1,1,1
"394","ARRTAC01","Ina2",1,1,1,1,1,1
"395","ARRTAC01","Rond3",1,1,1,1,1,1
"396","ARRTAC01","Sfr1",1,1,1,1,1,1
"397","ARRTAC01","Xing1",1,1,1,1,1,1
"398","ARRTAC02","Rond3",1,1,1,1,1,1
"399","ARRTAC05","Xing1",1,1,1,1,1,1
"400","ATLBRU01","Hual3",1,1,1,1,1,1
"401","ATMEL01","Sierra_Nevada_de_Santa_Marta",1,1,1,1,1,1
"402","ATPAL02","Bosque_Palacio",1,1,1,1,1,1
