"","Lineage_Name","Lineage_Genera","n_sites","n_bird_individuals","n_status","riqueza","perlocation","Host_Status","Perlocation"
"57","TARUF01","Plasmodium",4,5,1,4,0.0634920634920635,"R",0.0256410256410256
"58","THAMUR01","Plasmodium",4,8,1,4,0.0634920634920635,"R",0.0256410256410256
"59","THASAT10","Plasmodium",4,6,1,3,0.0634920634920635,"R",0.0256410256410256
"60","TURUF01","Plasmodium",4,6,2,3,0.0634920634920635,"R_PM",0.0256410256410256
"61","VIOLI06","Haemoproteus",4,6,2,3,0.0634920634920635,"R_M",0.0256410256410256
"62","VOLJAC03","Plasmodium",4,7,1,4,0.0634920634920635,"R",0.0256410256410256
"63","AFR122","Parahaemoproteus",3,3,1,3,0.0476190476190476,"R",0.0192307692307692
"64","ARBRU02","Haemoproteus",3,4,1,2,0.0476190476190476,"R",0.0192307692307692
"65","BAHYP01","Plasmodium",3,6,1,4,0.0476190476190476,"R",0.0192307692307692
"66","CATUST06","Plasmodium",3,5,1,4,0.0476190476190476,"R",0.0192307692307692
"67","COLPAS03","Haemoproteus",3,13,1,3,0.0476190476190476,"R",0.0192307692307692
"68","COLPLU01","Parahaemoproteus",3,9,3,9,0.0476190476190476,"R_PM_M",0.0192307692307692
"69","COPIL01","Parahaemoproteus",3,5,1,3,0.0476190476190476,"R",0.0192307692307692
"70","CREFUR01","Haemoproteus",3,3,1,2,0.0476190476190476,"M",0.0192307692307692
"71","DETUR01","Plasmodium",3,8,1,4,0.0476190476190476,"R",0.0192307692307692
"72","DIGCAE01","Haemoproteus",3,4,1,3,0.0476190476190476,"R",0.0192307692307692
"73","EUTAQU01","Plasmodium",3,3,1,2,0.0476190476190476,"R",0.0192307692307692
"74","FOSER01","Plasmodium",3,4,1,3,0.0476190476190476,"R",0.0192307692307692
"75","GALCYA02","Plasmodium",3,3,1,1,0.0476190476190476,"R",0.0192307692307692
"76","GEOTRI02","Plasmodium",3,13,1,9,0.0476190476190476,"R",0.0192307692307692
"77","GLYSPI06","Plasmodium",3,16,2,5,0.0476190476190476,"R_PM",0.0192307692307692
"78","GRW04","Plasmodium",3,3,1,1,0.0476190476190476,"PM",0.0192307692307692
