"","Lineage_Name","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount","parasiteGenus","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes","Host_Status"
"212","GLYSPI03",1,1,0,0,0,0,-5.72,-5.72,0,-63.217,-63.217,1,"Haemoproteus",1,1,1,1,1,1,"R"
"213","GLYSPI04",1,3,1563.70182611794,72936.2229741907,1522.73788671628,1494.96100311029,-14.866667,-1.35,261.490358587604,-59.683333,-56.366667,2,"Plasmodium",1,1,1,1,1,1,"R"
"214","GLYSPI05",1,1,0,0,NA,0,-6.716667,-6.716667,0,-77.416667,-77.416667,1,"Plasmodium",1,1,1,1,1,1,"R"
"215","GLYSPI06",3,1,0,0,0,0,4.766667,4.766667,0,-75.4,-75.4,1,"Plasmodium",3,16,2,5,2,2,"R_PM"
"216","GRAGUA01",1,1,0,0,0,0,4.766667,4.766667,0,-75.4,-75.4,1,"Plasmodium",1,1,1,1,1,1,"R"
"217","GRAQUI01",1,1,0,0,0,0,4.683333,4.683333,0,-73.833333,-73.833333,1,"Leucocytozoon",1,1,1,1,1,1,"R"
"218","GRAQUI02",1,1,0,0,0,0,4.683333,4.683333,0,-73.833333,-73.833333,1,"Leucocytozoon",1,1,1,1,1,1,"R"
"219","GRARUF01",1,6,5277.37021382636,3244473.11205636,2688.32547908481,1840.10295163769,-19.566667,-2.932778,1842.9001857104,-64.466667,-41.011001,5,"Leucocytozoon",1,1,1,1,1,1,"R"
"220","GRARUF02",1,1,0,0,NA,0,-16.5630651,-16.5630651,0,-45.5308804,-45.5308804,1,"Leucocytozoon",1,1,1,1,1,1,"R"
"221","GRW06",6,1,0,0,0,0,-0.583333,-0.583333,0,-64.916667,-64.916667,1,"Plasmodium",6,8,1,6,3,3,"R"
"222","GURUF01",1,2,85.7492317690236,0,85.7492317690236,79.8416316064087,-5.72,-4.998,22.2347962750813,-63.217,-62.935,2,"Plasmodium",1,1,1,1,1,1,"R"
"223","GYMLEU02",1,1,0,0,NA,0,-9.1,-9.1,0,-64.466667,-64.466667,1,"Plasmodium",1,1,1,1,1,1,"R"
"224","GYMSAL01",2,1,0,0,0,0,-5.5524107,-5.5524107,0,-35.103905,-35.103905,1,"Haemoproteus",2,2,1,2,1,1,"R"
"225","GYMSAL03",1,2,4321.82922871139,0,4321.82922871139,3129.01597124274,-23.651383,4.633333,2154.96850546404,-74.083333,-46.619467,2,"Plasmodium",1,1,1,1,1,1,"R"
"226","H012",1,1,0,0,NA,0,-21.1658279,-21.1658279,0,-47.45862,-47.45862,1,"Plasmodium",1,1,1,1,1,1,"R"
"227","HAECOL1",2,1,0,0,0,0,-15.5211053,-15.5211053,0,-47.552045,-47.552045,1,"Haemoproteus",2,2,1,1,2,2,"R"
"228","Haemoproteuserythrogravidus",1,1,0,0,0,0,4.683333,4.683333,0,-73.833333,-73.833333,1,"Haemoproteus",1,5,2,2,1,1,"R_M"
"229","Haemoproteusvireonis",1,2,1327.71890595437,0,1327.71890595437,1256.90599492886,-6.683333,4.683333,303.531754593554,-77.683333,-73.833333,2,"Haemoproteus",1,1,1,1,1,1,"R"
"230","HEAME01",1,1,0,0,NA,0,-5.1,-5.1,0,-79.233333,-79.233333,1,"Leucocytozoon",1,2,2,2,1,1,"R_M"
"231","HEMATR01",2,1,0,0,0,0,-12.90198,-12.90198,0,-39.841985,-39.841985,1,"Haemoproteus",2,3,1,3,1,2,"R"
"232","HEMFRO01",1,2,1358.54357076719,0,1358.54357076719,990.701352280824,-14.50911,-5.5524107,669.03029041582,-43.59298,-35.103905,2,"Haemoproteus",1,2,1,1,1,1,"R"
"233","HEMGUI01",1,1,0,0,NA,0,-6.344364,-6.344364,0,-37.152527,-37.152527,1,"Haemoproteus",1,1,1,1,1,1,"R"
"234","HESEL01",2,1,0,0,0,0,-6.344364,-6.344364,0,-37.152527,-37.152527,1,"Haemoproteus",2,2,1,2,2,2,"R"
"235","Hp1477/478",1,1,0,0,0,0,-5.5524107,-5.5524107,0,-35.103905,-35.103905,1,"Haemoproteus",1,2,2,2,1,1,"R_PM"
"236","Hp2458/478",1,1,0,0,0,0,-0.583333,-0.583333,0,-64.916667,-64.916667,1,"Haemoproteus",1,2,2,2,1,1,"R_PM"
"237","HYAMA01",1,1,0,0,0,0,-9.1,-9.1,0,-64.466667,-64.466667,1,"Plasmodium",1,1,1,1,1,1,"R"
"238","HYLNAE01",1,1,0,0,0,0,-5.1,-5.1,0,-56.433333,-56.433333,1,"Plasmodium",1,1,1,1,1,1,"R"
"239","HYLNAE02",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"240","HYLOCH01",1,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Plasmodium",1,1,1,1,1,1,"R"
"241","HYLPUN01",1,1,0,0,0,0,-2.116667,-2.116667,0,-77.733333,-77.733333,1,"Plasmodium",1,1,1,1,1,1,"R"
"242","HYLPUN03",1,1,0,0,0,0,-13.8,-13.8,0,-59.683333,-59.683333,1,"Plasmodium",1,1,1,1,1,1,"R"
"243","HYPCAN01",1,1,0,0,0,0,-9.316667,-9.316667,0,-64.716667,-64.716667,1,"Plasmodium",1,1,1,1,1,1,"R"
"244","HYPCAN02",1,1,0,0,0,0,-5.066667,-5.066667,0,-56.85,-56.85,1,"Plasmodium",1,1,1,1,1,1,"R"
"245","HYPOCH01",1,1,0,0,0,0,-5.216667,-5.216667,0,-56.916667,-56.916667,1,"Plasmodium",1,1,1,1,1,1,"R"
"246","HYPSTR01",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"247","HYPSTR03",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"248","HYPSTR04",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,3,1,3,1,1,"R"
"249","HYPSTR05",1,2,738.829991000467,0,738.829991000467,114.638195968982,-5.72,-4.683333,518.958432273607,-63.217,-56.633333,2,"Plasmodium",1,1,1,1,1,1,"R"
"250","HYPSTR06",1,1,0,0,NA,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"251","HYPSTR07",2,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",2,3,1,3,1,1,"R"
"252","HYPSTR09",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"253","HYPSTR10",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Haemoproteus",1,1,1,1,1,1,"R"
"254","HYPSTR12",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Haemoproteus",1,1,1,1,1,1,"R"
"255","HYPSTR14",1,1,0,0,0,0,-16.5630651,-16.5630651,0,-45.5308804,-45.5308804,1,"Plasmodium",1,1,1,1,1,1,"R"
