Lineage_0me;NObs;NLocs;MST;CH;GCD;LatRg;MinLat;MaxLat;LongRg;MinLong;MaxLong;CellCount;parasiteGenus;n_sites;n_bird_individuals;n_status;riqueza;n_biomas;n_regioes;Host_Status
PARCAP05;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
PARCAP06;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
PARCAP08;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
PARCAP09;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
PARCON01;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
PHAE01;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
PHAMAL01;2;2;136.257510256616;0;136.257510256616;90.3025867354499;-1.483333;-0.666667;72.275906362075;-78.166667;-77.25;1;Haemoproteus;2;5;1;4;1;1;R
PHAMAL02;2;2;48.7288883538014;0;48.7288883538014;42.3899565432992;-5.066667;-4.683333;17.0835021297505;-56.85;-56.633333;2;Plasmodium;2;3;1;3;1;1;R
PHASYR01;1;1;0;0;0;0;-0.083333;-0.083333;0;-78.133333;-78.133333;1;Haemoproteus;1;2;1;2;1;1;R
PHASYR02;2;2;222.999642894732;0;222.999642894732;222.99253714966;-2.1;-0.083333;0;-78.133333;-78.133333;1;Plasmodium;2;3;1;3;1;1;R
PHIERY01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PHIERY03;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;1;1;1;1;1;R
PHLNIG02;1;1;0;0;0;0;-5.1;-5.1;0;-56.433333;-56.433333;1;Plasmodium;1;1;1;1;1;1;R
PHLNIG03;4;4;1908.53388432612;231719.217826403;1802.20894826899;337.043612189556;-4998;-1.95;1274.00711403479;-62935;-46.75;4;Plasmodium;4;8;1;4;1;1;R
PHLNIG04;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Haemoproteus;1;1;1;1;1;1;R
PHLNIG06;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Haemoproteus;1;1;1;1;1;1;R
PHMUR01;1;1;0;0;0;0;-15.5954324;-15.5954324;0;-39.5655673;-39.5655673;1;Plasmodium;1;1;1;1;1;1;PM
PHPAT01;9;9;8205.16082052221;7789972.75281241;4322.61791708726;3040.662407665;-30.205564;-2.733333;3050.91509367166;-76.233333;-37.152527;9;Plasmodium;9;25;3;14;6;5;R_PM_M
PIACAY01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;1;1;1;1;1;1;R
PICFLA01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PIOLI03;1;1;0;0;0;0;4.633333;4.633333;0;-74.083333;-74.083333;1;Haemoproteus;1;1;1;1;1;1;M
PIPCHL01;1;1;0;0;0;0;-13.8;-13.8;0;-59.683333;-59.683333;1;Plasmodium;1;1;1;1;1;1;R
PIPFAS02;2;2;709.31948608226;0;709.31948608226;72.2482411908702;-5.72;-5.066667;501.888576629636;-63217;-56.85;2;Plasmodium;2;3;1;3;1;1;R
PIPFAS03;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
PIPFAS04;1;1;0;0;0;0;-9.1;-9.1;0;-64.466667;-64.466667;1;Plasmodium;1;1;1;1;1;1;R
PIRFLA04;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Haemoproteus;1;1;1;1;1;1;R
PIRFLA05;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Haemoproteus;1;2;1;1;1;1;R
PIRFLA06;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Haemoproteus;1;1;1;1;1;1;R
PISUL01;1;1;0;0;0;0;-18.4526633;-18.4526633;0;-44.5356927;-44.5356927;1;Haemoproteus;1;1;1;1;1;1;R
Plasmodiumjuxtanucleare;3;3;157.136018543329;740.657961391482;155.638273240645;28.3471473478156;-15.61953;-15.3633507;112.772533315993;-56.757767;-55.327475;1;Plasmodium;3;8;2;7;2;1;R_PM
