"","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount"
"DENVID02",1,3,3355.00379445753,1111638.64191454,2799.3108995022,1596.31450089293,-19.1130526,-4.683333,1873.91597912181,-64.466667,-40.613344,3
"DETUR01",3,3,1482.4551038649,145568.511293869,1327.73435836832,1256.90599492886,-6.683333,4.683333,425.694087322323,-79.233333,-73.833333,2
"DIGCAE01",3,2,177.750275344933,0,177.750275344933,164.025578063747,-4.483333,-3,48.6221239151476,-79.116667,-78.5,1
"DIGCYA01",1,2,190.287574970709,0,190.287574970709,33.1723107416328,0.35,0.65,132.723171455819,-79.716667,-78.033333,1
"DIGCYA07",1,6,2037.99527779513,203331.806318944,1858.18007106516,1752.7563058909,-5.1,10.75,438.827645934111,-79.233333,-73.666667,4
"DYSMEN02",1,2,20.8455539219463,0,20.8455539219463,14.7453003064312,-6.716667,-6.583333,10.5128838774862,-77.55,-77.416667,1
"ELACHI01",1,5,1790.00329049001,228537.995357209,1614.86746876014,1500.20916607401,-19.1130526,-5.5524107,465.652637765628,-41.011001,-35.103905,3
"ELFLA01",1,2,200.601571544143,0,200.601571544143,26.0231829401751,-15.4018485,-15.166667,146.013622693629,-47.5852374,-45.733333,1
"ENTLEU01",1,2,1860.07088152483,0,1860.07088152483,266.664753974461,-16.25,-13.84,1347.78148589794,-56.366667,-39.241,2
"EUMIN01",2,3,137.937950238136,1155.34280943701,133.539814831552,127.162107681977,-2.633333,-1.483333,28.9105078164606,-78.166667,-77.8,1
"EUVIO01",1,2,2244.69988857122,0,2244.69988857122,1898.56154829788,-19.1130526,-1.95,865.598399855838,-51.6,-40.613344,2
"FOCOL02",1,2,448.137247147756,0,448.137247147756,126.629230063523,-15.5954324,-14.4510092,315.154011632961,-43.5630135,-39.5655673,2
"FOGRI01",1,2,348.615209716726,0,348.615209716726,348.419417058375,-17.657674,-14.50911,8.55989562613694,-43.59298,-43.4844164,2
"FORCOL04",1,2,484.157821496842,0,484.157821496842,453.646167281131,-9.1,-4.998,120.765297306411,-64.466667,-62.935,2
"FORGRI01",1,3,1613.22492131131,109831.056069324,1549.36486566439,1427.82763645571,-19.4724319,-6.566667,490.129518266107,-43.4844164,-37.266667,2
"FRAG15",1,13,7959.57568782781,6222543.80748907,4322.15576605497,3915.79254836665,-36.716667,-1.35,2153.89117260595,-64.716667,-37.266667,10
